,Vazão/Dia,Horas/Mês,Horas/Dia,Dia/Mês,M³/Mês,Q95 local l/s,Q95 Esp l/s/km²,Durhs val à mont,vazao total Durhs Montante,Qnt de outorgas à mont ,Vazao Total cnarh Montante L/s,Vazão Total à Montante,Comprom individual(%),Comprom bacia(%),Q outorgável,Q disponível,Nivel critico Bacia
Jan,600.0,744,24,31,1607040.0,6776.6,10.53982992759,3,2.42,2,344.6,347.02000000000004,17.707995159814654,27.94970929374612,3388.3,3041.28,Normal
Fev,600.0,744,24,31,1607040.0,8095.4,12.59099536579,3,2.42,2,344.6,347.02000000000004,14.823232947105764,23.396496775946833,4047.7,3700.68,Normal
Mar,600.0,744,24,31,1607040.0,8904.5,13.84941055843,3,2.42,2,344.6,347.02000000000004,13.476332191588522,21.27059352013027,4452.25,4105.23,Normal
Abr,600.0,744,24,31,1607040.0,9406.2,14.62971818683,3,2.42,17,1885.872222222222,1888.292222222222,12.757542897237991,52.90749127643941,4703.1,2814.807777777778,Alerta
Mai,600.0,744,24,31,1607040.0,7284.6,11.32993611701,3,2.42,19,2026.872222222222,2029.292222222222,16.473107651758504,72.18768970766335,3642.3,1613.007777777778,Alerta
Jun,600.0,744,24,31,1607040.0,5362.4,8.3402862798,3,2.42,19,2026.872222222222,2029.292222222222,22.378039683723706,98.0640094816583,2681.2,651.9077777777777,Moderado Critico
Jul,600.0,744,24,31,1607040.0,4288.5,6.6700204593,3,2.42,19,2026.872222222222,2029.292222222222,27.981811822315493,122.62060031349992,2144.25,114.95777777777789,Alto Critico
Ago,600.0,744,24,31,1607040.0,3002.2000000000003,4.66940315329,3,2.42,15,1796.1833333333332,1798.6033333333332,39.97068816201452,159.78970976839207,1501.1000000000001,-297.5033333333331,Alto Critico
Set,600.0,744,24,31,1607040.0,2295.5,3.57025346026,3,2.42,11,1013.161111111111,1015.581111111111,52.27619255064256,140.76071540937582,1147.75,132.168888888889,Alto Critico
Out,600.0,744,24,31,1607040.0,2539.6,3.94990881624,3,2.42,2,344.6,347.02000000000004,47.251535674909434,74.5802488580879,1269.8,922.78,Alerta
Nov,600.0,744,24,31,1607040.0,2224.2000000000003,3.45935863485,3,2.42,2,344.6,347.02000000000004,53.95198273536552,85.15601115007641,1112.1000000000001,765.0800000000002,Moderado Critico
Dez,600.0,744,24,31,1607040.0,5362.4,8.3402862798,3,2.42,2,344.6,347.02000000000004,22.378039683723706,35.320751902133374,2681.2,2334.18,Normal
